iso3,year,u5mr,dtp3,mcv1,pol3,gdp_pc,health_exp_pc,fertility,female_secondary_enrollment,basic_water,basic_sanitation,physicians_per_1000
MWI,2000,171,75,73,73,224.2241591842804,8.84964848,6.002,26.2098903656006,54.1308258661442,9.3511917456521,NA
MWI,2001,239,90,81,86,215.4745248983569,7.42542601,5.943,27.5069007873535,54.9347725459043,9.35302758911489,NA
MWI,2002,143.2,64,69,79,428.2104398383979,11.17413807,5.903,26.6317901611328,55.7358012245672,9.35480608724583,NA
MWI,2003,130,84,77,85,383.3485968526416,12.3155899,5.875,NA,56.5342633361224,9.35670106577719,0.021
MWI,2004,118.7,89,80,94,404.6742484454283,15.94395351,5.864,24.9910697937012,57.3298008251815,9.35853844568126,0.021
MWI,2005,109.7,93,82,94,414.36112198447466,17.24028015,5.848,24.8580207824707,58.1227398593288,11.6430173155279,NA
MWI,2006,102.7,99,85,99,440.82214902387295,20.95070648,5.802,26.8940505981445,58.9127413872202,13.9195182666637,NA
MWI,2007,96.9,87,83,88,475.1802616593313,25.0216465,5.724,26.4809303283691,59.7001195551836,16.1881872542677,NA
MWI,2008,91,91,88,92,554.0488203961194,32.73482132,5.609,28.9009094238281,60.4845500797973,18.4488656297589,0.018
MWI,2009,85.3,93,92,93,625.8697298696254,35.56456757,5.453,30.1589107513428,61.2695217967754,20.7030011916433,0.018
MWI,2010,80.1,93,93,86,683.1246947167995,33.99194336,5.263,31.2023279228704,62.054717323412,22.950220782325,NA
MWI,2011,74,97,96,97,763.0610003945718,39.29234314,5.083,32.4309158727431,62.8400904977238,25.1902507973083,NA
MWI,2012,67.9,96,90,95,558.46208832772,32.53762817,4.902,32.3157881419039,63.6250410332197,27.4226021008412,NA
MWI,2013,62.9,89,88,89,496.94736826731287,39.54008484,4.759,35.4070171986027,64.4097635787401,29.6470619671529,0.012
MWI,2014,60,91,85,87,529.5133440205997,35.33760452,4.569,37.2084539407515,65.1933925643295,31.8630595478382,NA
MWI,2015,57.4,88,87,88,539.605363240686,34.97310638,4.384,37.6379016435624,65.9763340121013,34.0704035850355,NA
MWI,2016,55.8,84,81,83,450.5061055107186,34.0307579,4.216,35.6916809082031,66.7575071708792,36.2684898070789,0.031
MWI,2017,53.8,88,83,87,495.76968336716527,37.60110092,4.113,39.0289251751713,67.5372652238348,38.4570661478088,NA
MWI,2018,52,92,87,91,533.2025671893307,36.70302963,4.021,38.1734496554461,68.3152167592517,40.6356741988533,0.15
MWI,2019,51.3,95,92,94,580.8891397624755,36.91519165,3.952,31.9471376555901,69.0907681697374,42.8038384563156,NA
MWI,2020,50.4,94,90,93,602.5074781761056,42.37881851,3.877,43.9545178667563,69.8639475231257,44.9611479828173,0.049
MWI,2021,50,93,90,89,617.4469944510071,46.41017532,3.791,36.1013396035833,70.6341661895421,47.1071277327455,NA
MWI,2022,50.1,86,82,87,604.2697403603173,40.03453827,3.72,35.8626281732909,71.4013801873198,49.2412879464451,0.054
MWI,2023,49.6,91,87,91,633.214767978695,41.26664734,3.648,37.2564052253575,72.2285522528925,49.23687867184,NA
MWI,2024,48.8,91,89,90,522.5703936425472,NA,3.59,NA,73.0535741738591,49.2322090448262,NA
NAM,2000,78.2,79,69,80,2156.675905127136,217.55029297,3.991,66.3425064086914,76.2362461884581,27.1488440827973,NA
NAM,2001,77.6,78,58,79,1915.589265948749,201.46917725,3.827,70.4965362548828,76.6073397311336,27.5998396163148,NA
NAM,2002,76.6,77,68,78,1772.0756553749345,187.86433411,3.693,68.4618530273438,77.0810806268773,28.1968311809375,NA
NAM,2003,75.6,79,70,82,2569.2473931788263,278.70162964,3.58,67.7303466796875,77.5698694830307,28.8122875122617,NA
NAM,2004,74.4,81,70,81,3403.1549619295456,373.46408081,3.545,67.1026916503906,78.0541039412165,29.4178256763319,0.308
NAM,2005,71,86,73,86,3685.772999915872,402.20068359,3.571,65.8467407226562,78.5320876453257,30.0109518702615,NA
NAM,2006,66,86,63,74,4017.1834716928024,437.56240845,3.601,65.4616622924805,79.0046008864518,30.5926680157068,NA
NAM,2007,62,86,69,81,4379.043136827322,493.60388184,3.608,66.3780670166016,79.4708868241615,31.1618359120794,0.383
NAM,2008,57.5,83,73,83,4204.785554227491,443.17068481,3.616,NA,79.9311134554851,31.7185868742759,NA
