iso3,year,physicians_per_1000
CEB,2011,NA
CEB,2012,NA
CEB,2013,NA
CEB,2014,NA
CEB,2015,NA
CEB,2016,NA
CEB,2017,NA
CEB,2018,NA
CEB,2019,NA
CEB,2020,NA
CEB,2021,NA
CEB,2022,3.907951715402623
CEB,2023,NA
CEB,2024,NA
CHE,2000,3.51
CHE,2001,3.514
CHE,2002,3.561
CHE,2003,3.658
CHE,2004,3.696
CHE,2005,3.74
CHE,2006,3.79
CHE,2007,3.788
CHE,2008,3.82
CHE,2009,3.836
CHE,2010,3.808
CHE,2011,3.832
CHE,2012,3.915
CHE,2013,4.039
CHE,2014,4.125
CHE,2015,4.196
CHE,2016,4.25
CHE,2017,4.297
CHE,2018,4.338
CHE,2019,4.349
CHE,2020,4.388
CHE,2021,4.435
CHE,2022,4.477
CHE,2023,NA
CHE,2024,NA
CHI,2000,NA
CHI,2001,NA
CHI,2002,NA
CHI,2003,NA
CHI,2004,NA
CHI,2005,NA
CHI,2006,NA
CHI,2007,NA
CHI,2008,NA
CHI,2009,NA
CHI,2010,NA
CHI,2011,NA
CHI,2012,NA
CHI,2013,NA
CHI,2014,NA
CHI,2015,NA
CHI,2016,NA
CHI,2017,NA
CHI,2018,NA
CHI,2019,NA
CHI,2020,NA
CHI,2021,NA
CHI,2022,NA
CHI,2023,NA
CHI,2024,NA
CHL,2000,NA
CHL,2001,NA
CHL,2002,0.882
CHL,2003,0.936
CHL,2004,0.974
CHL,2005,0.97
CHL,2006,1.031
CHL,2007,1.028
CHL,2008,1.031
CHL,2009,1.022
CHL,2010,1.423
CHL,2011,1.575
CHL,2012,1.735
CHL,2013,1.868
CHL,2014,2.016
CHL,2015,2.138
CHL,2016,2.286
CHL,2017,2.43
CHL,2018,2.569
CHL,2019,2.627
CHL,2020,2.798
CHL,2021,2.979
CHL,2022,3.178
CHL,2023,3.334
CHL,2024,NA
CHN,2000,1.263
CHN,2001,1.28
CHN,2002,1.137
CHN,2003,1.185
CHN,2004,1.215
CHN,2005,1.239
CHN,2006,1.273
CHN,2007,1.294
CHN,2008,1.343
CHN,2009,1.419
CHN,2010,1.46
CHN,2011,1.485
CHN,2012,1.562
CHN,2013,1.658
CHN,2014,1.711
CHN,2015,1.797
CHN,2016,1.888
CHN,2017,2.003
CHN,2018,2.122
CHN,2019,2.255
CHN,2020,2.385
CHN,2021,2.517
CHN,2022,3.112
CHN,2023,NA
CHN,2024,NA
CIV,2000,NA
CIV,2001,NA
CIV,2002,NA
CIV,2003,NA
CIV,2004,0.106
CIV,2005,0.085
CIV,2006,NA
CIV,2007,NA
CIV,2008,0.128
CIV,2009,NA
CIV,2010,NA
CIV,2011,0.14
CIV,2012,NA
CIV,2013,NA
CIV,2014,0.214
CIV,2015,NA
CIV,2016,NA
CIV,2017,NA
CIV,2018,0.351
CIV,2019,0.149
CIV,2020,0.153
CIV,2021,0.167
CIV,2022,0.162
CIV,2023,0.166
CIV,2024,NA
CMR,2000,NA
CMR,2001,NA
CMR,2002,NA
CMR,2003,NA
CMR,2004,0.188
CMR,2005,0.061
CMR,2006,NA
CMR,2007,0.073
CMR,2008,NA
CMR,2009,0.07
CMR,2010,0.087
CMR,2011,0.091
CMR,2012,NA
CMR,2013,NA
CMR,2014,NA
CMR,2015,NA
CMR,2016,NA
CMR,2017,NA
CMR,2018,0.131
CMR,2019,NA
CMR,2020,0.098
CMR,2021,0.126
CMR,2022,0.136
CMR,2023,NA
CMR,2024,NA
COD,2000,NA
COD,2001,NA
COD,2002,NA
COD,2003,NA
COD,2004,0.107
COD,2005,NA
COD,2006,NA
COD,2007,NA
COD,2008,NA
COD,2009,0.088
COD,2010,NA
COD,2011,NA
COD,2012,NA
COD,2013,0.085
COD,2014,NA
COD,2015,NA
COD,2016,NA
COD,2017,NA
COD,2018,NA
COD,2019,0.162
COD,2020,NA
COD,2021,0.171
COD,2022,0.208
COD,2023,NA
COD,2024,NA
COG,2000,NA
COG,2001,NA
COG,2002,NA
COG,2003,NA
COG,2004,0.212
COG,2005,NA
COG,2006,0.204
COG,2007,0.101
COG,2008,NA
COG,2009,NA
COG,2010,0.111
COG,2011,0.114
COG,2012,NA
COG,2013,NA
COG,2014,NA
COG,2015,NA
COG,2016,0.102
COG,2017,NA
COG,2018,0.099
COG,2019,NA
COG,2020,NA
COG,2021,NA
COG,2022,0.173
COG,2023,NA
COG,2024,NA
COL,2000,1.264
COL,2001,1.29
COL,2002,1.321
