iso3,year,gdp_pc
THA,2021,7057.2075480227895
THA,2022,6909.352818158268
THA,2023,7195.101309194487
THA,2024,7346.620221421852
TJK,2000,136.9257164007228
TJK,2001,168.67628536518615
TJK,2002,186.9516382852216
TJK,2003,233.5812484528902
TJK,2004,305.7451585875024
TJK,2005,333.92715094168375
TJK,2006,401.0184033164272
TJK,2007,516.9972106189136
TJK,2008,703.3273758986428
TJK,2009,664.7956557346566
TJK,2010,737.3388832193556
TJK,2011,833.6019782028519
TJK,2012,952.4528196954687
TJK,2013,1028.197042793961
TJK,2014,1081.5440293203876
TJK,2015,956.916310930656
TJK,2016,788.710481734485
TJK,2017,829.4571476495696
TJK,2018,834.2884045788009
TJK,2019,871.0223729348457
TJK,2020,834.3117154606249
TJK,2021,896.7480533721822
TJK,2022,1052.1794948489417
TJK,2023,1178.4799006024873
TJK,2024,1341.2022902767226
TKM,2000,633.8354876380108
TKM,2001,756.0349762763984
TKM,2002,935.5408014784664
TKM,2003,1228.948702894039
TKM,2004,1379.230096826922
TKM,2005,1604.016184523122
TKM,2006,1996.5931071730759
TKM,2007,2414.9607198696376
TKM,2008,3605.503951205493
TKM,2009,3707.978506996173
TKM,2010,4058.5393700073905
TKM,2011,5143.619293346473
TKM,2012,6053.874846874895
TKM,2013,6599.645290554815
TKM,2014,7164.145361840064
TKM,2015,5759.497903834004
TKM,2016,5686.980409627638
TKM,2017,5828.481662348902
TKM,2018,6125.0516971208535
TKM,2019,5998.001743475399
TKM,2020,5972.723565668613
TKM,2021,5723.302271579058
TKM,2022,5837.842245389467
TKM,2023,6231.913238396981
TKM,2024,6856.658027302078
TLA,2000,4388.9261101421625
TLA,2001,4222.974619275107
TLA,2002,3714.3747812475976
TLA,2003,3728.7273907873127
TLA,2004,4252.838254592994
TLA,2005,5103.9706894322435
TLA,2006,5926.882668652185
TLA,2007,6927.882499369956
TLA,2008,7989.380671879034
TLA,2009,7386.600189950356
TLA,2010,9115.801445903624
TLA,2011,10277.607925426435
TLA,2012,10263.482024354736
TLA,2013,10231.082383052166
TLA,2014,10058.666481587203
TLA,2015,8404.377471962182
TLA,2016,8082.023306141424
TLA,2017,8918.302512541559
TLA,2018,8620.468902407552
TLA,2019,8362.634298459678
TLA,2020,6964.371110279603
TLA,2021,8075.788166505642
TLA,2022,9174.556904524283
TLA,2023,10260.51969157821
TLA,2024,10474.280994440765
TLS,2000,492.4576379139055
TLS,2001,587.7006344290791
TLS,2002,533.9824659421538
TLS,2003,534.9011713483854
TLS,2004,474.42072669566255
TLS,2005,487.4645069292226
TLS,2006,464.6670167910755
TLS,2007,540.1546305187846
TLS,2008,628.1531914950258
TLS,2009,686.5793296907315
TLS,2010,813.0602206703688
TLS,2011,939.0452388844062
TLS,2012,1022.6190667590108
TLS,2013,1204.5684332051835
TLS,2014,1224.7495630873264
TLS,2015,1319.5929500315403
TLS,2016,1335.5439107334944
TLS,2017,1266.1777114347092
TLS,2018,1219.4659972898346
TLS,2019,1562.3645806803208
TLS,2020,1630.8693852125593
TLS,2021,2684.926767742773
TLS,2022,2343.2495474018747
TLS,2023,1502.4114743821076
TLS,2024,1331.970513018503
TMN,2000,1246.0197506905886
TMN,2001,1225.8147413988852
TMN,2002,1168.3592730472903
TMN,2003,1263.915745401505
TMN,2004,1463.3046705277002
TMN,2005,1657.842969151542
TMN,2006,1885.1487024766939
TMN,2007,2240.988367831749
TMN,2008,2656.830461409859
TMN,2009,2512.843820365347
TMN,2010,2817.9038021857145
TMN,2011,3234.8825988404205
TMN,2012,3414.8716587695585
TMN,2013,3147.246791762345
TMN,2014,3071.927719889929
TMN,2015,2799.454418115829
TMN,2016,2858.616890968256
TMN,2017,2854.661926380413
TMN,2018,2804.1263314244393
TMN,2019,2688.969329582688
TMN,2020,2402.7348096445157
TMN,2021,2746.968099451828
TMN,2022,3010.1965672691285
TMN,2023,2868.886265012122
TMN,2024,2973.774961552622
TON,2000,1995.0766754627143
TON,2001,1753.516675766262
TON,2002,1759.4805324575996
TON,2003,1936.0410401238914
TON,2004,2195.448900476729
TON,2005,2477.7262014482462
TON,2006,2750.3477860085673
TON,2007,2797.06560109144
TON,2008,3218.453039931955
TON,2009,2914.2377400456385
TON,2010,3416.083566012071
TON,2011,3849.9937575013396
TON,2012,4384.170587242169
TON,2013,4219.246701130143
TON,2014,4136.590137925294
TON,2015,4123.903239933324
TON,2016,3987.9862620628696
TON,2017,4365.929327883834
TON,2018,4675.047912743854
TON,2019,4788.833423046843
TON,2020,4792.358547415216
TON,2021,4922.801713783675
TON,2022,5298.019415099507
TON,2023,5651.593730631569
TON,2024,NA
TSA,2000,440.4679189109309
TSA,2001,446.418919348871
TSA,2002,462.898836496672
TSA,2003,532.6615468442899
TSA,2004,606.4780416962581
TSA,2005,686.3381934754726
TSA,2006,769.3787043135123
TSA,2007,967.697911561283
TSA,2008,958.2755114602974
TSA,2009,1054.4355588574476
TSA,2010,1294.0273440497301
TSA,2011,1397.0068255099857
TSA,2012,1387.1820595662482
TSA,2013,1405.8407235792965
TSA,2014,1528.492087334083
TSA,2015,1570.5414246291698
TSA,2016,1722.9070341514437
TSA,2017,1956.0670755418591
TSA,2018,1988.366333179902
TSA,2019,2067.059756876371
TSA,2020,1957.2034372268602
TSA,2021,2273.720557986886
TSA,2022,2385.0834189627144
TSA,2023,2532.389889933058
TSA,2024,2690.078837490028
TSS,2000,629.5297316133174
TSS,2001,587.3970485707393
TSS,2002,625.4689944118525
TSS,2003,766.5008429300018
TSS,2004,926.4354998200066
TSS,2005,1073.5297740318122
TSS,2006,1234.1334000953084
TSS,2007,1390.5886507496236
TSS,2008,1536.667631371744
TSS,2009,1426.9691691994853
TSS,2010,1642.641341935958
TSS,2011,1795.4381485631563
TSS,2012,1817.3012581663327
TSS,2013,1879.558731269205
TSS,2014,1906.7959697101692
TSS,2015,1646.4494113931642
TSS,2016,1455.0352530457114
TSS,2017,1546.9177419932325
TSS,2018,1620.5414080591916
TSS,2019,1795.561278655397
TSS,2020,1627.3456959629718
TSS,2021,1785.4666491661444
TSS,2022,1865.1163526069884
TSS,2023,1680.7796667221835
TSS,2024,1532.9276355020688
TTO,2000,6178.589755596872
TTO,2001,6657.414669372205
TTO,2002,6762.930808080963
TTO,2003,8445.046535182983
TTO,2004,9871.034198200861
TTO,2005,12346.437309407496
TTO,2006,14152.660742211256
TTO,2007,16606.675360681045
TTO,2008,21298.994525806283
TTO,2009,14634.056500391198
TTO,2010,16815.424737361
TTO,2011,19151.08702297216
TTO,2012,20332.138953192512
TTO,2013,21304.977749662845
TTO,2014,21908.301455564368
TTO,2015,19887.232771649797
TTO,2016,17449.15388019561
