iso3,year,basic_water
DEU,2001,99.9999997139462
DEU,2002,99.9999978295524
DEU,2003,99.9999979068126
DEU,2004,99.9999988199317
DEU,2005,100
DEU,2006,99.9999996366367
DEU,2007,99.9999987891849
DEU,2008,100
DEU,2009,100
DEU,2010,99.9999997873648
DEU,2011,100
DEU,2012,99.9999983586453
DEU,2013,100
DEU,2014,100
DEU,2015,100
DEU,2016,99.9999994713636
DEU,2017,100
DEU,2018,100
DEU,2019,99.9999994577197
DEU,2020,99.9999988416059
DEU,2021,99.9999988425523
DEU,2022,99.9999971569363
DEU,2023,99.9999970615884
DEU,2024,100
DJI,2000,74.3096347205208
DJI,2001,74.527572653683
DJI,2002,74.7450869974976
DJI,2003,74.96217201496
DJI,2004,75.1788322527145
DJI,2005,75.3947621757465
DJI,2006,75.6105690415926
DJI,2007,75.8259576941353
DJI,2008,76.0409140930528
DJI,2009,76.2551640290106
DJI,2010,76.4718213203658
DJI,2011,76.6907534448216
DJI,2012,76.9115444598486
DJI,2013,77.1343417786065
DJI,2014,77.3584793969034
DJI,2015,77.5846153985274
DJI,2016,77.8118431649469
DJI,2017,78.0402986467674
DJI,2018,78.2698510281145
DJI,2019,78.500379190124
DJI,2020,78.7317549952208
DJI,2021,78.9636292425205
DJI,2022,79.1958862115465
DJI,2023,79.4286344922977
DJI,2024,79.661532568521
DMA,2000,94.2668749983249
DMA,2001,94.3836399842442
DMA,2002,94.5072339611788
DMA,2003,94.6298513844787
DMA,2004,94.7515617669834
DMA,2005,94.8722688677582
DMA,2006,94.9920765320284
DMA,2007,95.1109272137674
DMA,2008,95.2288638936291
DMA,2009,95.3458592055333
DMA,2010,95.4619169199444
DMA,2011,95.5770987585217
DMA,2012,95.6914288767891
DMA,2013,95.8049070233585
DMA,2014,95.9175225784431
DMA,2015,96.0292697173861
DMA,2016,96.1401644767525
DMA,2017,96.2501691726005
DMA,2018,96.3592925117814
DMA,2019,96.4675351456684
DMA,2020,96.574889313875
DMA,2021,96.6813469673205
DMA,2022,96.7869037849825
DMA,2023,96.8915616749148
DMA,2024,96.9953113262366
DNK,2000,99.9999969457606
DNK,2001,100
DNK,2002,100
DNK,2003,100
DNK,2004,100
DNK,2005,99.9999987386533
DNK,2006,100
DNK,2007,99.9999976665951
DNK,2008,99.9999973602883
DNK,2009,99.9999973124597
DNK,2010,99.9999962682703
DNK,2011,99.9999977912366
DNK,2012,100
DNK,2013,99.9999990521906
DNK,2014,100
DNK,2015,100
DNK,2016,99.9999998039442
DNK,2017,100
DNK,2018,100
DNK,2019,99.9999975731289
DNK,2020,100
DNK,2021,100
DNK,2022,100
DNK,2023,99.9999977179038
DNK,2024,99.9999997876119
DOM,2000,91.0193202795321
DOM,2001,91.3815553025836
DOM,2002,91.7350612908746
DOM,2003,92.1383561014256
DOM,2004,92.5503842742875
DOM,2005,92.9442462304413
DOM,2006,93.3208356941648
DOM,2007,93.6801822070971
DOM,2008,94.0226829898878
DOM,2009,94.3479459728681
DOM,2010,94.6571919447174
DOM,2011,94.9411577041221
DOM,2012,95.2053026765105
DOM,2013,95.4569183357095
DOM,2014,95.6965659361733
DOM,2015,95.9246900261845
DOM,2016,96.1415849688893
DOM,2017,96.3474703370499
DOM,2018,96.5419932414165
DOM,2019,96.7258902380545
DOM,2020,96.8998955257888
DOM,2021,97.3054739452924
DOM,2022,97.3603332914567
DOM,2023,97.4107460357747
DOM,2024,97.4571299883182
DZA,2000,88.9938081102024
DZA,2001,89.1698016074929
DZA,2002,89.3436399760295
DZA,2003,89.5151088113819
DZA,2004,89.6842209126681
DZA,2005,89.8507731580286
DZA,2006,90.0150202695134
DZA,2007,90.1767439508853
DZA,2008,90.3361987493803
DZA,2009,90.4918619672067
DZA,2010,90.6443416237761
DZA,2011,90.7933523397582
DZA,2012,90.9547062510195
DZA,2013,91.1128578356774
DZA,2014,91.268060653484
DZA,2015,91.4201507009501
DZA,2016,91.56940001457
DZA,2017,91.715636706346
DZA,2018,91.859120820781
DZA,2019,91.9998016191508
DZA,2020,92.1378242692677
DZA,2021,92.273231858432
DZA,2022,92.3236727252335
